pkt_len_var,fwd_iat_mean,tot_bwd_pkts,protocol,rst_flag_cnt,psh_flag_cnt,active_max,fwd_pkt_len_mean,totlen_fwd_pkts,fwd_header_len,bwd_iat_min,bwd_pkts_s,init_bwd_win_byts,fin_flag_cnt,idle_std,urg_flag_cnt,syn_flag_cnt,active_std,fwd_pkts_s,fwd_act_data_pkts,bwd_iat_tot,init_fwd_win_byts,down_up_ratio,Classification
105.75,4.67530886332194,4,6,0,0,0.0,75.0,300,80,0.0002384185791015,144.94104637500865,67,1,0.0,0,0,0.0,144.94104637500865,1,13.946771621704102,501,1.0,1
36.0,0.0,1,6,0,0,0.0,66.0,66,20,0.0,21845.33333333333,0,1,0.0,0,0,0.0,21845.33333333333,0,0.0,8192,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,20971.52,0,1,0.0,0,0,0.0,20971.52,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,26051.57763975155,0,1,0.0,0,0,0.0,26051.57763975155,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,18236.104347826087,0,1,0.0,0,0,0.0,18236.104347826087,0,0.0,1024,1.0,1
66333.53633217991,611.4665567874908,8,6,0,0,0.0,93.11111111111111,838,180,16.11185073852539,1.6354124177351208,502,1,0.0,0,0,0.0,1.839838969952011,4,4527.362108230591,62720,0.8888888888888888,1
132987.44378698224,69.4455623626709,7,6,0,0,0.0,203.66666666666663,1222,120,0.1745223999023437,19.389067413697237,67,1,0.0,0,0,0.0,16.619200640311913,4,346.8010425567627,64240,1.1666666666666667,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,22192.08465608465,0,1,0.0,0,0,0.0,22192.08465608465,0,0.0,65535,1.0,1
36.0,0.0,1,6,0,0,0.0,66.0,66,20,0.0,33026.015748031496,0,1,0.0,0,0,0.0,33026.015748031496,0,0.0,8192,1.0,1
4.0,0.0,1,6,0,0,0.0,58.0,58,20,0.0,18641.35111111111,0,1,0.0,0,0,0.0,18641.35111111111,0,0.0,65535,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,37449.142857142855,0,1,0.0,0,0,0.0,37449.142857142855,0,0.0,1024,1.0,1
4.0,0.0,1,6,0,0,0.0,58.0,58,20,0.0,40721.39805825242,0,1,0.0,0,0,0.0,40721.39805825242,0,0.0,65535,1.0,1
36.0,0.0,1,6,0,0,0.0,66.0,66,20,0.0,20867.18407960199,0,1,0.0,0,0,0.0,20867.18407960199,0,0.0,8192,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,31775.030303030304,0,1,0.0,0,0,0.0,31775.030303030304,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,22795.130434782608,0,1,0.0,0,0,0.0,22795.130434782608,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,38130.03636363636,0,1,0.0,0,0,0.0,38130.03636363636,0,0.0,65535,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,44150.56842105263,0,1,0.0,0,0,0.0,44150.56842105263,0,0.0,1024,1.0,1
58691.40484429064,589.8190604315864,7,6,0,0,0.0,175.2,1752,200,1.613616943359375,1.3186718265914583,502,1,0.0,0,0,0.0,1.8838168951306549,4,5087.560892105103,502,0.7,1
4.0,0.0,1,6,0,0,0.0,58.0,58,20,0.0,21959.706806282724,0,1,0.0,0,0,0.0,21959.706806282724,0,0.0,65535,1.0,1
57681.1475,488.6054754257202,9,6,0,0,0.0,85.45454545454545,940,220,0.093698501586914,1.841976902153692,502,1,0.0,0,0,0.0,2.25130510263229,4,4431.265115737915,65320,0.8181818181818182,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,31775.030303030304,0,1,0.0,0,0,0.0,31775.030303030304,0,0.0,1024,1.0,1
188.2222222222222,60103.04260253906,1,6,0,0,0.0,81.5,163,40,0.0,0.0166380914076107,0,1,0.0,0,0,0.0,0.0332761828152214,2,0.0,502,0.5,1
132.25,0.0,1,6,0,0,0.0,77.0,77,20,0.0,199728.7619047619,0,1,0.0,0,0,0.0,199728.7619047619,1,0.0,502,1.0,1
119.36,20032.183329264324,1,6,0,0,0.0,76.25,305,80,0.0,0.0166398887948838,0,1,0.0,0,0,0.0,0.0665595551795352,3,0.0,502,0.25,1
88.22222222222223,91.6748046875,1,6,0,0,0.0,60.0,120,40,0.0,10.908122503328896,502,1,0.0,0,0,0.0,21.81624500665779,0,0.0,508,0.5,1
86.1875,15021.942615509031,2,6,0,0,0.0,76.5,153,40,15021.942138671877,0.133138530504115,0,1,0.0,0,0,0.0,0.133138530504115,2,15021.942138671877,502,1.0,1
84.1875,60088.91606330872,2,6,0,0,0.0,75.5,151,40,60088.911294937134,0.0332840058430543,0,1,0.0,0,0,0.0,0.0332840058430543,1,60088.911294937134,64240,1.0,1
66.1875,86.09628677368164,2,6,0,0,0.0,60.0,120,40,82.48090744018555,23.22980554617101,502,1,0.0,0,0,0.0,23.22980554617101,0,82.48090744018555,508,1.0,1
111.1388888888889,20028.08125813802,2,6,0,0,0.0,76.75,307,80,45056.60700798035,0.0332865942157171,0,1,7500.725865364075,0,0,0.0,0.0665731884314343,3,45056.60700798035,502,0.5,1
188149.12654320983,46.76598310470581,9,6,0,0,0.0,157.77777777777777,1420,180,0.0,23.21302088073457,67,1,0.0,0,0,0.0,23.21302088073457,4,373.89421463012695,64240,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,38836.14814814815,0,1,0.0,0,0,0.0,38836.14814814815,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,38130.03636363636,0,1,0.0,0,0,0.0,38130.03636363636,0,0.0,1024,1.0,1
252160.1388888889,57.59831269582113,5,6,0,0,0.0,470.2857142857143,3292,140,0.14495849609375,14.468016411074371,501,1,0.0,0,0,0.0,20.25522297550412,4,331.96234703063965,65535,0.7142857142857143,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,21399.51020408163,0,1,0.0,0,0,0.0,21399.51020408163,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,22192.08465608465,0,1,0.0,0,0,0.0,22192.08465608465,0,0.0,1024,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,28532.68027210884,0,1,0.0,0,0,0.0,28532.68027210884,0,0.0,65535,1.0,1
0.0,0.0,1,6,0,0,0.0,54.0,54,20,0.0,27962.02666666667,0,1,0.0,0,0,0.0,27962.02666666667,0,0.0,1024,1.0,1
102238.64506172836,456.1159610748291,8,6,0,0,0.0,183.6,1836,200,5.077838897705078,1.948822152143587,502,1,0.0,0,0,0.0,2.4360276901794835,4,3882.5526237487793,502,0.8,1
